tempat,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,latitude,longitude
Baru Beureum (Camp & Track Mt. Manglayang),"Jl. Ciloa, Kec. Sukasari, Kabupaten Sumedang, Jawa Barat",Jl. Ciloa,Sukasari,Sumedang,Jawa Barat,24 jam,Rp 5.000/orang,-6.879857552,107.7573859
Camping Ground Samalengoh Camp,"Jl. Gunturmekar, Kec. Tanjungkerta, Kabupaten Sumedang, Jawa Barat",Jl. Gunturmekar,Tanjungkerta,Sumedang,Jawa Barat,24 jam,Rp 10.000/orang,-6.81067083,107.8857029
Bumi Perkemahan Mandalawangi,"Jl. Kebun Raya Cibodas, Cimacan, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat",Jl. Kebun Raya Cibodas,Cipanas,Cianjur,Jawa Barat,24 jam,Rp 30.000/orang,-6.736805163,107.0036043
Gunung Gede Pangrango,"Jl. Cipendawa, Kec. Pacet, Kabupaten Cianjur, Jawa Barat ",Jl. Cipendawa,Pacet,Cianjur,Jawa Barat,24 jam,Rp 30.000/orang,-6.726838353,107.0174592
Bumi Perkemahan Bukit Golf Cibodas,"Jl. Bukit Golf Cibodas, Sindangjaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat",Jl. Bukit Golf Cibodas,Cipanas,Cianjur,Jawa Barat,24 jam,Rp 30.000/orang,-6.739979816,107.0014427
Lembah Pasir Sumbul,"Jl. Parabon pojok, Ciloto, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat",Jl. Parabon pojok,Cipanas,Cianjur,Jawa Barat,24 jam,Rp 25.000/orang,-6.712737756,106.9938655
Smiling Cinangka Camping Ground,"Jl. Unnamed Road, Sukakarya, Sukanagara, Kabupaten Cianjur, Jawa Barat",Jl. Unnamed Road,Sukanagara,Cianjur,Jawa Barat,24 jam,Rp 25. 000/orang,-7.149777651,107.074854
Puncak Bangku Ciamis,"Jl. Darmacaang, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat ",Jl. Darmacaang,Cikoneng,Ciamis,Jawa Barat,24 jam,Rp 10.000 - Rp 50.000/orang,-7.263118196,108.2728708
Pinus Camping Ground Ciamis,"Jl. Medanglayang, Panumbangan, Kabupaten Ciamis, Jawa Barat ",Jl. Medanglayang,Panumbangan,Ciamis,Jawa Barat,24 jam,Rp 20.000/orang,-7.185466642,108.2214558
Camp Puncak Jamiaki,"Jl. Medanglayang, Panumbangan, Kabupaten Ciamis, Jawa Barat ",Jl. Medanglayang,Panumbangan,Ciamis,Jawa Barat,24 jam,Rp 20.000/orang,-7.176606621,108.2164196
Puncak Puspa Gunung Syawal,"Jl. Tanjungsari, Kec. Sadananya, Kabupaten Ciamis, Jawa Barat ",Jl. Tanjungsari,Sadananya,Ciamis,Jawa Barat,08.00 - 17.00,Rp 10.000/orang,-7.231063052,108.3105417
Buper Awilega,"Jl. Cintanagara, Jatinagara, Kabupaten Ciamis, Jawa Barat ",Jl. Cintanagara,Jatinagara,Ciamis,Jawa Barat,24 jam,Gratis,-7.218528002,108.4024024
Bukit Move On,"Jl. Darmacaang, Kec. Cikoneng, Kabupaten Ciamis, Jawa Barat",Jl. Darmacaang,Cikoneng,Ciamis,Jawa Barat,24 jam,Rp. 10.000/orang,-7.258402136,108.2722981
